Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\kafdrop,"0,23"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\webofneeds,"0,21"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\aet,"0,19"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\webanno,"0,12"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\ice,"0,29"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\bonita-web,"0,97"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\optaweb-vehicle-routing,"0,18"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\openmrs-core,"0,28"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\heritrix3,"0,03"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\metl,"0,07"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\mes,"0,26"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\bamboobsc,"0,11"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\web-budget,"0,02"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\phenotips,"0,19"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\zanata-platform,"0,42"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\geowe-core,"0,15"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\bigbluebutton,"0,09"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\libreplan,"0,16"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\openmpf,"0,25"
D:\Projetos\_Web\bonita-web,D:\Projetos\_Web\jbpm-wb,"0,28"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\webprotege,"0,03"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\kafdrop,"0,50"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\webofneeds,"0,40"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\aet,"0,08"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\webanno,"0,27"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\kafka-webview,"0,14"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\ice,"0,32"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\bonita-web,"0,18"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\optaweb-vehicle-routing,"1,00"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\openmrs-core,"0,39"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\heritrix3,"0,04"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\metl,"0,28"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\mes,"0,50"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\bamboobsc,"0,33"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\web-budget,"0,02"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\phenotips,"0,36"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\zanata-platform,"0,33"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\geowe-core,"0,07"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\bigbluebutton,"0,22"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\libreplan,"0,25"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\openmpf,"0,49"
D:\Projetos\_Web\optaweb-vehicle-routing,D:\Projetos\_Web\jbpm-wb,"0,33"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\webprotege,"0,05"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\kafdrop,"0,57"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\webofneeds,"0,45"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\aet,"0,10"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\webanno,"0,26"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\kafka-webview,"0,01"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\ice,"0,50"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\bonita-web,"0,28"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\optaweb-vehicle-routing,"0,39"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\openmrs-core,"0,99"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\heritrix3,"0,04"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\metl,"0,19"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\mes,"0,63"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\bamboobsc,"0,27"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\web-budget,"0,03"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\phenotips,"0,36"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\zanata-platform,"0,38"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\geowe-core,"0,07"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\bigbluebutton,"0,17"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\libreplan,"0,34"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\openmpf,"0,56"
D:\Projetos\_Web\openmrs-core,D:\Projetos\_Web\jbpm-wb,"0,28"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\webprotege,"0,01"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\kafdrop,"0,00"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\webofneeds,"0,03"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\aet,"0,07"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\webanno,"0,06"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\kafka-webview,"0,02"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\ice,"0,06"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\bonita-web,"0,03"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\optaweb-vehicle-routing,"0,04"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\openmrs-core,"0,04"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\heritrix3,"0,99"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\metl,"0,10"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\mes,"0,01"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\bamboobsc,"0,00"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\web-budget,"0,01"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\phenotips,"0,07"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\zanata-platform,"0,07"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\geowe-core,"0,03"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\bigbluebutton,"0,16"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\libreplan,"0,02"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\openmpf,"0,03"
D:\Projetos\_Web\heritrix3,D:\Projetos\_Web\jbpm-wb,"0,09"
