Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.montecarlo.MonteCarloGraphController,plotWeekValue,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.web.test.ws.subcontract.ReportAdvancesServiceTest,validEndDateReportToSubcontratedOrderElement,Metodo Longo,"[D, V]",b21342ee6754ac16b23c502a61b647ddeee07830,EXTRACT_OPERATION,public validEndDateReportToSubcontratedOrderElement() : void,private getNumSubcontractorCommunications() : int
org.libreplan.importers.JiraOrderElementSynchronizer,syncOrderElementsWithJiraIssues,Alto Acoplamento Efferent,"[A, V, X]",,,,
org.libreplan.business.planner.limiting.entities.Gap,getHoursInGapUntilAllocatingAndGoingToTheEnd,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.web.calendars.BaseCalendarCRUDController,updateWindowTitle,Muitos Desvios,[D],,,,
org.libreplan.ws.calendars.impl.CalendarConverter,update,Alto Acoplamento Efferent,[V],,,,
org.libreplan.web.planner.order.SaveCommandBuilder,execute,Alto Acoplamento Efferent,"[A, V, X]",,,,
org.libreplan.business.test.costcategories.daos.CostCategoryDAOTest,testCanAddHourCost,Metodo Longo,"[D, V]",,,,
org.libreplan.web.orders.JiraSynchronizationController,getSubModel,Muitos Desvios,[D],,,,
org.libreplan.business.resources.entities.CriterionSatisfaction,createUnvalidated,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.business.calendars.entities.BaseCalendar,createUnvalidated,Muitos Parametros,"[A, R, D, V, X]",,,,
org.zkoss.ganttz.data.criticalpath.CriticalPathCalculator,backward,Metodo Longo,[V],,,,
org.libreplan.importers.OrderImporterMPXJ,createTask,Alto Acoplamento Efferent,[V],,,,
org.libreplan.web.print.CutyPrint,print,Muitos Parametros,"[A, V, X]",2b41a2321bb5c42d149f1b12d7871db653a559b8,EXTRACT_OPERATION,"public print(forwardURL String, entryPointsMap Map<String,String>, parameters Map<String,String>, planner Planner) : void",private openInAnotherTab(producedPrintFilePath String) : void
org.libreplan.web.print.CutyPrint,print,Muitos Parametros,"[A, V, X]",2b41a2321bb5c42d149f1b12d7871db653a559b8,EXTRACT_OPERATION,"public print(forwardURL String, entryPointsMap Map<String,String>, parameters Map<String,String>, planner Planner) : void",private takeSnapshot(params CutyCaptParameters) : String
org.libreplan.web.print.CutyPrint,print,Muitos Parametros,"[A, V, X]",c332b4b7a70e144b33ac9d97e9d56b76c0d9c75f,EXTRACT_OPERATION,"public print(forwardURL String, entryPointsMap Map<String,String>, parameters Map<String,String>, planner Planner) : void","private createCaptureURL(request HttpServletRequest, parameters Map<String,String>, capturePath String) : String"
org.libreplan.web.print.CutyPrint,print,Metodo Longo,"[A, R, D, V]",2b41a2321bb5c42d149f1b12d7871db653a559b8,EXTRACT_OPERATION,"public print(forwardURL String, entryPointsMap Map<String,String>, parameters Map<String,String>, planner Planner) : void",private openInAnotherTab(producedPrintFilePath String) : void
org.libreplan.web.print.CutyPrint,print,Metodo Longo,"[A, R, D, V]",2b41a2321bb5c42d149f1b12d7871db653a559b8,EXTRACT_OPERATION,"public print(forwardURL String, entryPointsMap Map<String,String>, parameters Map<String,String>, planner Planner) : void",private takeSnapshot(params CutyCaptParameters) : String
org.libreplan.web.print.CutyPrint,print,Metodo Longo,"[A, R, D, V]",c332b4b7a70e144b33ac9d97e9d56b76c0d9c75f,EXTRACT_OPERATION,"public print(forwardURL String, entryPointsMap Map<String,String>, parameters Map<String,String>, planner Planner) : void","private createCaptureURL(request HttpServletRequest, parameters Map<String,String>, capturePath String) : String"
org.libreplan.web.limitingresources.QueueComponent,generateProgressBar,Muitos Parametros,"[A, D, V, X]",,,,
org.libreplan.business.test.calendars.entities.AvailabilityTimeLineTest,matches,Muitos Desvios,[D],,,,
org.libreplan.web.test.ws.orders.OrderElementServiceTest,importDirectCriterionRequirementsAndIndirectCriterionRequirements,Metodo Longo,"[A, R, D, V]",,,,
org.libreplan.web.orders.OrderElementTreeModelTest,checkMoveOrderGroupLineWithCriterionToOrderLineInGroupWithSameCriterion,Metodo Longo,"[R, D, V]",,,,
org.libreplan.web.common.ConfigurationController,validate,Muitos Desvios,"[D, V]",,,,
org.zkoss.ganttz.data.criticalpath.CriticalPathCalculator,forward,Metodo Longo,[V],,,,
org.libreplan.web.workreports.WorkReportCRUDController,onEvent,Muitos Desvios,[D],,,,
org.libreplan.web.templates.OrderTemplatesController,confirmDelete,Muitos Desvios,[D],,,,
