Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.zegoggles.smssync.mail.MessageConverter,getMessageMap,Alto Acoplamento Efferent,21,4,7,1,[V],6139034f985217b22d8557abdde937f57cb17524,EXTRACT_OPERATION,"public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","private getMessageMap(cursor Cursor) : Map<String,String>"
com.zegoggles.smssync.service.SmsBackupService,handleIntent,Muitos Desvios,30,9,9,1,"[A, R, D, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,EXTRACT_OPERATION,protected handleIntent(intent Intent) : void,"private backup(backupType BackupType, skip boolean) : void"
com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroupContactIds,Muitos Desvios,10,4,5,2,[V],3e1035238d03ded0d221494a88be0fd797d45e6b,EXTRACT_AND_MOVE_OPERATION,"public getGroupContactIds(context Context, group ContactGroup) : GroupContactIds","public add(id long, rawId long) : void"
com.zegoggles.smssync.service.BackupTask,handleAuthError,Muitos Parametros,20,5,7,2,[V],0355091497614e63a0251d2418b46ff30e9fb66e,EXTRACT_OPERATION,protected doInBackground(params BackupConfig...) : BackupState,"private handleAuthError(config BackupConfig, e XOAuth2AuthenticationFailedException) : BackupState"
com.zegoggles.smssync.service.BackupTaskTest,mockFetch,Muitos Parametros,8,1,0,2,[V],79f7a970e514aa86bd801a6733eab5f06a538f21,EXTRACT_OPERATION,public shouldBackupItems() : void,"private mockFetch(type DataType, cursor Cursor) : void"
com.zegoggles.smssync.service.BackupTask,closeFolders,Muitos Desvios,10,3,4,0,[V],8e14ad79888c53f0cd2b946c81888cf0badebf17,MOVE_OPERATION,private closeFolders() : void,public closeFolders() : void
com.zegoggles.smssync.mail.MessageConverter,convertMessages,Muitos Parametros,18,3,6,2,[V],0ad7c0668a3da32d02c61e98715479b315a18a6e,RENAME_METHOD,"public cursorToMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult","public convertMessages(cursor Cursor, maxEntries int, dataType DataType) : ConversionResult"
com.zegoggles.smssync.service.BackupTask,backup,Muitos Parametros,34,7,11,3,"[A, V, X]",8e14ad79888c53f0cd2b946c81888cf0badebf17,RENAME_METHOD,"private backup(config BackupConfig, cursors BackupCursors, itemsToSync int) : BackupState","private backupCursors(cursors BackupCursors, store BackupImapStore, backupType BackupType, itemsToSync int) : BackupState"
com.zegoggles.smssync.mail.HeaderGeneratorTest,testShouldGenerateStandardHeaders,Metodo Longo,14,1,7,0,[V],d02af2e6ab8a3ef9ea5e18c578c6862d299ab96f,RENAME_METHOD,public testShouldGenerateHeader() : void,public testShouldGenerateStandardHeaders() : void
com.zegoggles.smssync.activity.MainActivity,getEnabledBackupSummary,Metodo Longo,20,5,7,0,[V],d682b669253e5d0283cfc2d93b528001c95d4536,EXTRACT_OPERATION,private updateAutoBackupEnabledSummary() : void,protected getEnabledBackupSummary() : String
com.zegoggles.smssync.service.SmsBackupService,handleIntent,Metodo Longo,30,9,9,1,"[D, V]",ecaba6edda278d71f60f449d716f5d5b6745a1b4,EXTRACT_OPERATION,protected handleIntent(intent Intent) : void,private moveToState(state BackupState) : void
