Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,[COMPOSER],org.libreplan.web.resourceload.ResourceLoadController,onSeeScheduleOf,25,5,9,1,Alto Acoplamento Efferent
" D, V ",[ICHARTFILLER],org.libreplan.web.planner.chart.ChartFiller,groupDurationsByDayAndResource,16,4,10,1,Alto Acoplamento Efferent
 V ,[IREASSIGNCOMMAND],org.libreplan.web.planner.reassign.ReassignCommand,tellUserOnEnd,22,1,0,3,Metodo Longo
 V ,UNDEFINED,org.libreplan.web.planner.allocation.AllocationRow,markNoCapacity,33,1,0,2,Metodo Longo
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.orders.ManageOrderElementAdvancesController,appendAddMeasurement,26,1,0,3,Metodo Longo
" A, D, V, X ",ENTITY,org.libreplan.business.planner.limiting.entities.LimitingResourceQueueDependency,create,8,1,4,4,Muitos Parametros
 V ,GENERICFORWARDCOMPOSER,org.libreplan.web.calendars.BaseCalendarEditionController,updateException,29,4,11,0,Metodo Longo
" D, V ",TEST,org.libreplan.web.test.ws.subcontract.ReportAdvancesServiceTest,validAdvancesReport,22,2,11,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.libreplan.web.planner.order.PlanningStateCreator,loadOrderAuthorizations,15,5,5,0,Muitos Desvios
 V ,UNDEFINED,org.libreplan.business.planner.limiting.entities.LimitingResourceAllocator,moveUntil,17,6,4,2,Muitos Desvios
" A, D, V, X ",ENTITY,org.libreplan.business.calendars.entities.CalendarException,create,3,1,5,4,Muitos Parametros
" A, R, D, V, X ",HTMLMACROCOMPONENT,org.zkoss.ganttz.LeftTasksTree,fillModel,55,18,8,4,Metodo Longo
" D, V ",ENTITY,org.libreplan.business.advance.entities.DirectAdvanceAssignment,checkConstraintValidAdvanceMeasurements,15,8,4,0,Muitos Desvios
 V ,UNDEFINED,org.libreplan.web.planner.TaskElementAdapter,calculateLimitDateByPercentage,18,4,9,1,Alto Acoplamento Efferent
 V ,MODEL,org.libreplan.web.subcontract.SubcontractedTasksModel,sendToSubcontractor,24,7,5,1,Metodo Longo
 V ,PERSISTENCE,org.libreplan.business.common.daos.GenericDAOHibernate,checkVersion,26,6,10,1,Muitos Desvios
