Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" D, V ",ENTITY,org.mitre.mpf.interop.JsonDetectionOutputObject,compareMap,29,9,6,2,Muitos Desvios
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.AdminLogsController,updateLog,50,12,13,8,Muitos Parametros
 V ,UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PropertyDefinition,equals,17,7,6,1,Muitos Desvios
" A, R, D, V, X ",TEST,org.mitre.mpf.wfm.camelOps.TestTrackMergingProcessor,generateAndRunMerge,71,5,23,5,Alto Acoplamento Efferent
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.JobController,getJobStatusFiltered,36,17,14,5,Metodo Longo
 V ,SERVICE,org.mitre.mpf.wfm.service.component.AddComponentServiceImpl,loadDescriptor,17,6,9,1,Muitos Desvios
" A, R, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.trackmerging.TrackMergingProcessor,wfmProcess,49,8,15,1,Metodo Longo
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.StreamingJobRequest,setInputObject,3,1,2,1,Muitos Parametros
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.StreamingJobRequest,setStreamUri,3,1,2,1,Muitos Parametros
 V ,UNDEFINED,org.mitre.mpf.mst.OutputChecker,compareJsonOutputObjects,10,2,5,3,Muitos Parametros
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.StreamingJobController,getStreamingJobStatusInternal,26,6,14,1,Metodo Longo
 V ,ADAPTER,org.mitre.mpf.nms.ChildNodeStateManager,launch,24,4,5,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.mitre.mpf.mvc.model.DirectoryTreeNode,fillDirectoryTree,50,11,14,3,Alto Acoplamento Efferent
 V ,[COMPONENTDEPENDENCYFINDER],org.mitre.mpf.wfm.service.component.ComponentDependencyFinderImpl,logDependencyScriptStandardError,12,2,9,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.wfm.ui.Utils,safeSelectUiSelectByText,17,3,6,3,Muitos Parametros
" D, V ",ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,compareTo,12,9,3,1,Muitos Desvios
" A, R, D, V, X ",TEST,org.mitre.mpf.wfm.ITWebREST,test_Jobs_SerializedOutput,62,4,15,0,Metodo Longo
" D, V ",[WFMSPLITTERINTERFACE],org.mitre.mpf.wfm.camel.WfmSplitter,split,33,6,11,1,Muitos Desvios
 V ,UNDEFINED,org.mitre.mpf.mst.OutputChecker,compareJsonTrackOutputObjects,33,9,5,3,Metodo Longo
" A, R, V, X ",[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,createRequest,26,11,12,9,Muitos Desvios
 V ,TEST,org.mitre.mpf.wfm.camelOps.TestMediaInspectionSplitter,testMediaInspectionSplitter,25,1,15,0,Metodo Longo
 V ,UNDEFINED,org.mitre.mpf.nms.MasterNode,send,3,1,4,3,Muitos Parametros
" A, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.SystemMessageController,changeSystemMessageQueue,49,10,14,5,Muitos Desvios
 V ,[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,resubmitInternal,32,6,0,3,Muitos Desvios
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.MarkupController,getFile,27,5,10,2,Metodo Longo
 V ,UNDEFINED,org.mitre.mpf.wfm.ui.HomePage,logout,30,5,0,1,Metodo Longo
" A, R, V ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.trackmerging.TrackMergingProcessor,createTrackMergingPlan,47,11,11,5,Metodo Longo
 V ,WFMSPLITTER,org.mitre.mpf.wfm.camel.DefaultStageSplitter,wfmSplit,22,4,9,1,Alto Acoplamento Efferent
" A, R, D, V, X ",ADAPTER,org.mitre.mpf.nms.MasterNodeStateManager,receive,56,16,8,1,Metodo Longo
" A, R, V, X ",SERVICE,org.mitre.mpf.wfm.service.component.StartupComponentRegistrationServiceImpl,getComponentRegistrationOrder,21,4,14,3,Alto Acoplamento Efferent
" D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.MediaController,saveMediaFileUpload,55,9,17,2,Muitos Desvios
" D, V ",ENTITY,org.mitre.mpf.interop.JsonDetectionOutputObject,compareMap,29,9,6,2,Metodo Longo
