Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
allbegray.slack.RestUtils,createHttpClient,null,6,1,5,1,null,14171f668c328affe774b2ff4bda451ac934e173,EXTRACT_OPERATION,public createHttpClient(timeout int) : CloseableHttpClient,"public createHttpClient(timeout int, proxyServerInfo ProxyServerInfo) : CloseableHttpClient",
flowctrl.integration.slack.SlackSearchQueryBuilder,fromUserName,null,7,2,2,1,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public fromUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,validate,null,5,3,2,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
flowctrl.integration.slack.SlackSearchQueryBuilder,filter,null,11,3,3,2,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,RENAME_PARAMETER,prefix : String,filterName : String,
flowctrl.integration.slack.SlackSearchQueryBuilder,filter,null,11,3,3,2,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inChannelName(channelName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,filter,null,11,3,3,2,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public inUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,filter,null,11,3,3,2,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public fromUserName(userName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,filter,null,11,3,3,2,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,public hasEmoji(emojiName String) : SlackSearchQueryBuilder,"protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.SlackSearchQueryBuilder,filter,null,11,3,3,2,null,7a36e001096c3e8e25f0604c3af5861d5ff2dffa,EXTRACT_OPERATION,"protected filter(prefix String, text String) : SlackSearchQueryBuilder","protected filter(filterName String, prefix String, text String, suffix String) : SlackSearchQueryBuilder",
flowctrl.integration.slack.webapi.method.users.UserInfoMethod,validate,null,5,2,1,1,null,d3e42ad1866983d965af5c275cd2df723b2bd5d8,EXTRACT_AND_MOVE_OPERATION,public validate(errors List<ValidationError>) : void,"public addError(errors List<ValidationError>, field String, problem Problem) : void",
