Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,uploadSourceDocument,18,1,9,3,Alto Acoplamento Efferent
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,getWritableFormatLabels,12,5,4,0,Muitos Desvios
" A, V, X ",ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,mergeChain,79,15,12,4,Muitos Parametros
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,getSentenceAddress,6,1,7,3,Muitos Parametros
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectPage,load,18,5,13,0,Muitos Desvios
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.SpanAdapter,render,17,3,11,3,Muitos Parametros
" A, V, X ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,createNamedEntity,46,12,6,4,Muitos Parametros
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.curation.CurationPage,onClose,43,8,0,1,Muitos Desvios
" A, R, V, X ",JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvWriter,convertToTsv,56,18,16,3,Alto Acoplamento Efferent
" A, R, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,computeKappa,48,10,15,4,Muitos Desvios
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.Tag,setDescription,3,1,1,1,Muitos Parametros
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.ProjectPermission,setLevel,3,1,2,1,Muitos Parametros
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.AnnotationDocument,setName,3,1,1,1,Muitos Parametros
