Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,UNDEFINED,org.archive.util.DevUtils,extraInfo,26,5,7,0,Metodo Longo
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorCSS,processStyleCode,28,4,12,3,Metodo Longo
 V ,PROCESSOR,org.archive.modules.writer.WriterPoolProcessor,getHostAddress,14,5,6,1,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.extractor.JerichoExtractorHTML,extract,25,8,7,2,Metodo Longo
 V ,TEST,org.archive.io.arc.ARCWriterTest,testRandomAccess,35,5,9,0,Metodo Longo
 V ,ARCHIVEREADERFACTORY,org.archive.io.warc.WARCReaderFactory,get,3,1,5,3,Muitos Parametros
" A, V ",UNDEFINED,org.archive.io.GzipHeader,readHeader,48,14,6,1,Metodo Longo
 V ,TEST,org.archive.util.BloomFilterTest,createBloom,0,1,4,3,Muitos Parametros
 V ,TEST,org.archive.io.RecordingOutputStreamTest,reuse,6,1,5,3,Muitos Parametros
 V ,TEST,org.archive.util.TransformTest,testSubclasses,30,7,9,0,Metodo Longo
 V ,UNDEFINED,org.archive.util.ArchiveUtils,isTld,3,1,11,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.archive.modules.extractor.PDFParser,haveSeen,15,5,4,2,Muitos Desvios
" A, D, V, X ",PROCESSOR,org.archive.modules.fetcher.FetchHTTP,innerProcess,97,21,18,1,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.archive.crawler.migrate.MigrateH1to3Tool,instanceMain,89,11,16,1,Alto Acoplamento Efferent
" A, D, V, X ",ENTITY,org.archive.modules.net.CrawlServer,updateRobots,39,9,13,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.archive.util.Recorder,getContentReplayInputStream,26,8,7,0,Muitos Desvios
 V ,DIRECTORYRESOURCE,org.archive.crawler.restlet.EnhDirectoryResource,acceptRepresentation,21,3,11,1,Alto Acoplamento Efferent
 V ,ENTITY,org.archive.util.ObjectIdentityBdbManualCache,getOrUse,38,7,6,2,Metodo Longo
 V ,UNDEFINED,org.apache.hadoop.examples.GenGraph,reduce,29,7,9,4,Muitos Desvios
 V ,UNDEFINED,org.archive.util.ArchiveUtils,getSecondsSinceEpoch,17,7,4,1,Muitos Desvios
 V ,ENTITY,org.archive.bdb.BdbModule,close,27,7,9,0,Muitos Desvios
 V ,TEST,org.archive.io.arc.ARCWriterPoolTest,testInvalidate,35,6,8,0,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.recrawl.FetchHistoryProcessor,innerProcess,29,5,5,1,Metodo Longo
 V ,PERSISTENCE,org.archive.io.SafeSeekInputStream,read,8,2,3,3,Muitos Parametros
 V ,TEST,org.archive.io.arc.ARCWriterTest,lengthTooLong,23,1,10,3,Alto Acoplamento Efferent
" A, V, X ",UNDEFINED,org.archive.surt.SURTTokenizer,nextSearch,57,15,2,0,Metodo Longo
 V ,PROCESSOR,org.archive.modules.recrawl.FetchHistoryProcessor,saveHeader,6,2,3,3,Muitos Parametros
" A, V, X ",RESOURCE,org.archive.crawler.restlet.JobRelatedResource,addPresentableNestedNames,40,13,12,3,Muitos Desvios
 V ,PROCESSOR,org.archive.modules.recrawl.PersistProcessor,populatePersistEnvFromLog,37,8,14,2,Metodo Longo
 V ,PROCESSOR,org.archive.modules.fetcher.FetchFTP,getAuth,24,4,7,1,Metodo Longo
" A, V, X ",CRAWLERJOURNAL,org.archive.crawler.frontier.FrontierJournal,importQueuesFromLog,60,18,17,5,Muitos Parametros
 V ,ABSTRACTLONGFPSET,org.archive.util.fingerprint.LongFPSetCache,discard,18,5,1,1,Muitos Desvios
" A, V, X ",UNDEFINED,org.archive.util.JavaLiterals,escape,44,12,5,1,Muitos Desvios
 V ,ENTITY,org.archive.bdb.BdbModule,setup,32,7,11,2,Metodo Longo
 V ,PROCESSOR,org.archive.modules.recrawl.PersistProcessor,main,22,3,7,1,Metodo Longo
" A, V, X ",TEST,org.archive.util.ObjectIdentityBdbManualCacheTest,testReadConsistencyUnderLoad,62,2,0,0,Metodo Longo
" A, V, X ",PROCESSOR,org.archive.modules.writer.WARCWriterProcessor,writeFtpRecords,41,11,8,4,Muitos Desvios
 V ,URI,org.archive.net.UURIFactory,escapeWhitespace,24,7,5,1,Metodo Longo
 V ,TEST,org.archive.crawler.selftest.UserAgentSelfTest,startHttpServer,18,1,9,0,Alto Acoplamento Efferent
 V ,PROCESSOR,org.archive.modules.fetcher.FetchHTTP,chooseAuthScheme,30,8,8,2,Metodo Longo
 V ,PROCESSOR,org.archive.modules.extractor.JerichoExtractorHTML,processForm,43,11,10,2,Metodo Longo
" A, V, X ",ABSTRACTFRONTIER,org.archive.crawler.frontier.BdbFrontier,initAllQueues,38,6,14,0,Alto Acoplamento Efferent
 V ,ASYNCTASK,org.archive.crawler.framework.ToePool,shortReportLineTo,30,6,5,1,Metodo Longo
" A, D, V, X ",PROCESSOR,org.archive.modules.writer.MirrorWriterProcessor,innerProcess,59,12,11,1,Metodo Longo
" A, D, V, X ",TEST,org.archive.modules.fetcher.FetchHTTPTest,log,5,2,13,2,Alto Acoplamento Efferent
" A, V, X ",FORMATTER,org.archive.crawler.io.UriProcessingFormatter,format,57,12,14,1,Metodo Longo
 V ,PERSISTENCE,org.archive.util.zip.OpenJDK7GZIPInputStream,read,15,4,3,3,Muitos Parametros
 V ,UNDEFINED,org.archive.crawler.frontier.precedence.PrecedenceLoader,main2args,45,6,22,1,Metodo Longo
 V ,UNDEFINED,org.archive.net.PublicSuffixes,main,26,5,11,1,Metodo Longo
" A, V, X ",[LIFECYCLE| APPLICATIONCONTEXTAWARE| HASVALIDATOR],org.archive.crawler.framework.CheckpointService,requestCrawlCheckpoint,43,10,12,0,Muitos Desvios
 V ,DIALOG,org.archive.crawler.restlet.PagedRepresentation,getControlUri,19,5,10,3,Muitos Parametros
" A, V, X ",PROCESSOR,org.archive.modules.recrawl.PersistLoadProcessor,start,33,10,10,0,Muitos Desvios
 V ,[ARCHIVEFILECONSTANTS| ITERABLE],org.archive.io.ArchiveReader,cdxOutput,35,7,6,1,Metodo Longo
" D, V ",ENTITY,org.archive.util.ObjectIdentityBdbCache,initialize,8,1,11,4,Alto Acoplamento Efferent
 V ,DECIDERULE,org.archive.modules.deciderules.MatchesListRegexDecideRule,evaluate,31,8,6,1,Metodo Longo
 V ,PROCESSOR,org.archive.modules.extractor.ExtractorCSS,processStyleCode,28,4,12,3,Muitos Parametros
" A, V, X ",UNDEFINED,org.archive.crawler.util.LogReader,get,26,6,8,4,Muitos Parametros
 V ,UNDEFINED,org.archive.crawler.util.LogUtils,createFileLogger,22,5,11,3,Muitos Desvios
 V ,UNDEFINED,org.archive.io.Warc2Arc,transform,37,6,9,2,Metodo Longo
 V ,ABSTRACTFRONTIER,org.archive.crawler.frontier.WorkQueueFrontier,snoozeQueue,14,2,6,3,Muitos Parametros
 V ,SERIALBINDING,org.archive.crawler.frontier.RecyclingSerialBinding,objectToEntry,15,4,9,2,Alto Acoplamento Efferent
