Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
de.tudarmstadt.ukp.clarin.webanno.brat.message.WhoamiResponse,getUser,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagsetDescription,readObject,null,2,1,0,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.tcf.TcfReader,getOffsets,null,9,2,7,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.CrowdJob,getProject,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,getNerTaggers,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.security.page.ManageUsersPage,actionDelete,null,10,2,4,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.SourceDocument,setState,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.annotation.component.GuidelineModalPanel,createPage,null,3,1,6,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,createCrowdJob,null,10,2,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,existsFinishedAnnotation,null,9,3,5,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.Project,getDescription,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,getAnnotationDocument,null,3,1,4,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.Stored,getSuffix,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.Relation,setType,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceChain,getTypeIndexID,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagsetDescription_Type,setName,null,4,3,2,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,setParent,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.AnnotationSelection,setAnnotationOption,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.SourceDocument,setFormat,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,getFormat,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.Project,setSourceDocuments,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,getType,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,getEnd,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotatorModel,setRememberedArcTag,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask1Data,getMarkertext,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.Project,setProjectPermissions,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.AJAXDownload,onRequest,null,5,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.TagSet,getName,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,existsUser,null,9,2,3,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceChain_Type,getFirst,null,4,3,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,getStringDocumentResponse,null,8,1,5,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.Tag,getTagSet,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectPage,wantOnSelectionChangedNotifications,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,(static_block),null,0,1,0,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationContainer,getCurationViews,null,9,2,7,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagDescription_Type,getFSGenerator,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.SpanAnnotationModalWindowPage,updateSentenceAddressAndOffsets,null,7,1,5,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,getFeatureValue,null,3,1,3,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,stepB,null,14,3,4,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.EntityType,getChildren,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagDescription_Type,createFS,null,12,3,7,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.BratCurationVisualizer,getModelObject,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,stepA,null,8,2,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.Project,hashCode,null,6,2,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.controller.ArcAdapter,isDeletable,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.CurationViewForSourceDocument,getSentenceNumber,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.security.page.LogInOutPanel,onClick,null,3,1,0,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
