Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
br.com.webbudget.domain.model.entity.movement.FixedMovement,removeApportionment,Muitos Desvios,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.repository.movement.MovementRepository,listLazilyByFilter,Alto Acoplamento Efferent,45,8,13,2,[A],4cd675d7502e6d4f932a7d10bb25061da4e12cca,RENAME_METHOD,"public listLazilyByFilter(filter MovementFilter, pageRequest PageRequest) : Page<Movement>","public listByFilter(filter MovementFilter, pageRequest PageRequest) : Page<Movement>",
br.com.webbudget.domain.entities.journal.Refueling,totalize,Metodo Longo,10,3,1,0,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,public totalize() : void,public totalsFuels() : void,
br.com.webbudget.domain.repository.user.UserPrivateMessageRepository,listByUser,null,12,2,6,2,null,0d651663f493ca528bf62761492ca7146ebb4334,EXTRACT_AND_MOVE_OPERATION,"public listByUser(user User, showUnread Boolean) : List<UserPrivateMessage>",protected getHbmCriteria() : Criteria,
br.com.webbudget.infrastructure.mail.SimpleMailMessage,to,null,4,1,2,1,null,aa08d953a4f34175ab15857c4c3239cd4fb6132e,EXTRACT_OPERATION,private toAddress(address String) : InternetAddress,"private toAddress(address String, personal String) : InternetAddress",
br.com.webbudget.application.components.filter.Filter,toExample,null,3,1,1,0,null,39ea0d241d8f4104fbab993f706be5a507492a6a,INLINE_OPERATION,private applyValueToAttributes() : T,public toExample() : T,
br.com.webbudget.application.controller.entries.CardBean,initialize,null,4,1,1,0,null,166385d94679c7baa41dfefb3c95f0b97d03dd50,RENAME_METHOD,public CardBean(),protected initializeNavigationManager() : void,
br.com.webbudget.domain.service.WalletService,adjustBalance,null,14,1,4,1,null,d728b3eb1acfbc10863415e579e576e1064fcf87,EXTRACT_OPERATION,public adjustBalance(wallet Wallet) : void,public updateBalance(builder BalanceBuilder) : void,
br.com.webbudget.domain.validators.registration.financialperiod.FinancialPeriodDatesValidator,validate,null,14,4,5,1,null,3e70db4a8ab20bab5ef53065ee915bf780e08438,RENAME_METHOD,public validate(value FinancialPeriod) : void,public run(value FinancialPeriod) : void,
br.com.webbudget.application.controller.SystemConfigurationBean,save,null,4,1,1,0,null,4d6ac9ebf6c0477a4400b1545577d5a865642b34,RENAME_METHOD,public save() : void,public doSave() : void,
br.com.webbudget.domain.services.misc.BalanceBuilder,forWallet,null,4,1,2,1,null,9aa17dc91e48c3f33a3ffafdb662fb50f030f755,RENAME_METHOD,public forWallet(wallet Wallet) : BalanceBuilder,public to(wallet Wallet) : WalletBalanceBuilder,
br.com.webbudget.domain.misc.MovementBuilder,inTheFinancialPeriod,null,4,1,2,1,null,cfd815042b34275b8d704f301cc860bd8c876e35,RENAME_METHOD,public inTheFinancialPeriod(financialPeriod FinancialPeriod) : MovementBuilder,public inThePeriodOf(financialPeriod FinancialPeriod) : MovementBuilder,
br.com.webbudget.application.controller.entries.CardBean,initializeListing,null,3,1,1,0,null,6090d132e876da551755258f0012503a6ef39420,RENAME_METHOD,public initializeListing() : void,public initialize() : void,
br.com.webbudget.application.controller.UtilsBean,getCurrentVersion,null,3,1,2,0,null,581a939cddfe9f9659fd528484dce46fad07f243,RENAME_METHOD,public getCurrentVersion() : String,public getApplicationVersion() : String,
br.com.webbudget.infrastructure.jsf.exception.CustomExceptionHandler,handle,null,5,1,1,0,null,a6d79ed5c770c418bf84b9bc1e0a4a7804db4506,MOVE_OPERATION,public handle() : void,public handle() : void,
br.com.webbudget.infrastructure.jsf.exception.CustomExceptionHandler,handle,null,5,1,1,0,null,a6d79ed5c770c418bf84b9bc1e0a4a7804db4506,PUSH_DOWN_OPERATION,"private goToErrorPage(context FacesContext, ex Throwable) : void","public handle(context FacesContext, exception Throwable) : void",
br.com.webbudget.infrastructure.jsf.exception.CustomExceptionHandler,handle,null,5,1,1,0,null,a6d79ed5c770c418bf84b9bc1e0a4a7804db4506,PUSH_DOWN_OPERATION,"private handleBusinessException(context FacesContext, ex BusinessLogicException) : void","public handle(context FacesContext, exception BusinessLogicException) : void",
