Commmit-name,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class After,Class Before,Short Message,Full Message
6d2cf785b671f2c880862b48914729268dde1dcf,Replace Variable With Attribute,REPLACE_VARIABLE_WITH_ATTRIBUTE,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
6d2cf785b671f2c880862b48914729268dde1dcf,Replace Variable With Attribute,REPLACE_VARIABLE_WITH_ATTRIBUTE,[com.zegoggles.smssync.preferences.Preferences],[com.zegoggles.smssync.preferences.Preferences]
6d2cf785b671f2c880862b48914729268dde1dcf,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.receiver.BackupBroadcastReceiver],[com.zegoggles.smssync.receiver.BackupBroadcastReceiver]
6d2cf785b671f2c880862b48914729268dde1dcf,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.receiver.BackupBroadcastReceiver],[com.zegoggles.smssync.receiver.BackupBroadcastReceiver]
6d2cf785b671f2c880862b48914729268dde1dcf,Move Method,MOVE_OPERATION,[com.zegoggles.smssync.mail.BackupImapStore],[com.zegoggles.smssync.preferences.Preferences]
5411a10c37e59d4f67aa2ad62ae488540ad0126d,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
5411a10c37e59d4f67aa2ad62ae488540ad0126d,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
5411a10c37e59d4f67aa2ad62ae488540ad0126d,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
5411a10c37e59d4f67aa2ad62ae488540ad0126d,Extract Method,EXTRACT_OPERATION,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
5411a10c37e59d4f67aa2ad62ae488540ad0126d,Extract Variable,EXTRACT_VARIABLE,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
5411a10c37e59d4f67aa2ad62ae488540ad0126d,Rename Parameter,RENAME_PARAMETER,[com.zegoggles.smssync.receiver.SmsBroadcastReceiver],[com.zegoggles.smssync.receiver.SmsBroadcastReceiver]
