Classe                              ;DesignRoleTechnique                        ;Concorda?;
com.zegoggles.smssync.contacts.ContactGroupsTest;TEST;SIM;
com.zegoggles.smssync.receiver.BootReceiver;BROADCASTRECEIVER;SIM;
com.zegoggles.smssync.service.BackupCursors;[ITERATOR];SIM;
com.zegoggles.smssync.service.BackupTask;ASYNCTASK;SIM;
com.zegoggles.smssync.activity.events.AccountAddedEvent;UNDEFINED;SIM;
com.zegoggles.smssync.activity.events.PerformAction;UNDEFINED;SIM;
com.zegoggles.smssync.service.RestoreTask;ASYNCTASK;SIM;
com.zegoggles.smssync.receiver.BootReceiverTest;TEST;SIM;
com.zegoggles.smssync.activity.events.ThemeChangedEvent;UNDEFINED;SIM;
com.zegoggles.smssync.utils.BundleBuilder;UNDEFINED;SIM;
com.zegoggles.smssync.service.BackupQueryBuilderTest;TEST;SIM;
com.zegoggles.smssync.activity.PreferenceTitlesTest;TEST;SIM;
com.zegoggles.smssync.service.state.RestoreState;SERVICE;SIM;
com.zegoggles.smssync.auth.OAuth2TokenTest;TEST;SIM;
com.zegoggles.smssync.auth.TokenRefresherTest;TEST;SIM;
com.zegoggles.smssync.mail.HeaderGenerator;UNDEFINED;SIM;
com.zegoggles.smssync.activity.donation.DonationListFragment;FRAGMENT;SIM;
com.zegoggles.smssync.activity.events.SettingsResetEvent;UNDEFINED;SIM;
com.zegoggles.smssync.service.BackupJobs;UNDEFINED;SIM;
com.zegoggles.smssync.calendar.CalendarAccessorPost40Test;TEST;SIM;
com.zegoggles.smssync.activity.events.FallbackAuthEvent;UNDEFINED;SIM;
com.zegoggles.smssync.service.exception.MissingPermissionException;EXCEPTION;SIM;
com.zegoggles.smssync.service.exception.RequiresWifiException;EXCEPTION;SIM;
com.zegoggles.smssync.service.state.BackupState;SERVICE;SIM;
com.zegoggles.smssync.activity.fragments.MainSettings;FRAGMENT;SIM;
com.zegoggles.smssync.service.CalendarSyncer;UNDEFINED;SIM;
com.zegoggles.smssync.activity.donation.Sku;ENTITY;SIM;
com.zegoggles.smssync.compat.GooglePlayServices;UNDEFINED;SIM;
com.zegoggles.smssync.utils.Drawables;UNDEFINED;SIM;
com.zegoggles.smssync.service.ServiceBase;SERVICE;SIM;
com.zegoggles.smssync.mail.MessageConverterTest;TEST;SIM;
com.zegoggles.smssync.mail.ConversionResultTest;TEST;SIM;
com.zegoggles.smssync.auth.OAuth2Client;UNDEFINED;SIM;
com.zegoggles.smssync.compat.MmsReceiver;BROADCASTRECEIVER;SIM;
com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity;ACTIVITY;SIM;
com.zegoggles.smssync.auth.TokenRefreshException;EXCEPTION;SIM;
com.zegoggles.smssync.mail.PersonLookup;UNDEFINED;SIM;
com.zegoggles.smssync.activity.fragments.AdvancedSettings;FRAGMENT;SIM;
com.zegoggles.smssync.service.CancelEvent;UNDEFINED;SIM;
com.zegoggles.smssync.service.state.State;UNDEFINED;SIM;
com.zegoggles.smssync.tasks.OAuth2CallbackTask;ASYNCTASK;SIM;
com.zegoggles.smssync.preferences.Defaults;UNDEFINED;SIM;
com.zegoggles.smssync.service.exception.RequiresLoginException;EXCEPTION;SIM;
com.zegoggles.smssync.mail.AttachmentTest;TEST;SIM;
com.zegoggles.smssync.mail.BackupStoreConfig;PERSISTENCE;SIM;
