"Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? "
" R, D ;UNDEFINED;com.zegoggles.smssync.utils.AppLog;rotate;32;3;0;1;Metodo Longo;(1) Discordo Fortemente;;"
 D ;SERVICE;com.zegoggles.smssync.service.ServiceBase;onStartCommand;4;1;2;3;Muitos Parametros;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.PersonLookup;lookupPerson;29;9;8;1;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapWhatsApp;36;8;12;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.utils.AppLog;readLog;28;8;9;2;Muitos Desvios;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;getBodyParts;22;8;10;1;Muitos Desvios;(1) Discordo Fortemente;;"
" A, R, D, X ;[CALENDARACCESSOR];com.zegoggles.smssync.calendar.CalendarAccessorPre40;addEntry;19;3;8;6;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, X ;ACTIVITY;com.zegoggles.smssync.activity.auth.AuthActivity;onReceivedError;3;1;7;4;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, X ;SERVICE;com.zegoggles.smssync.service.state.RestoreState;RestoreState;7;1;5;7;Muitos Parametros;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageConverter;messageToContentValues;39;8;13;1;Metodo Longo;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapWhatsApp;36;8;12;1;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.preferences.Preferences;getDefaultType;10;3;7;4;Muitos Parametros;(1) Discordo Fortemente;;"
 D ;VIEW;com.zegoggles.smssync.preferences.PreferenceBackupAgent;onBackup;4;2;3;3;Muitos Parametros;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.service.Alarms;scheduleBackup;13;8;8;4;Muitos Desvios;(1) Discordo Fortemente;;"
 R ;ACTIVITY;com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity;refreshOAuth2Token;34;6;11;1;Metodo Longo;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.HeaderGenerator;createMessageId;19;4;11;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.utils.ThreadHelper;getThreadId;30;11;12;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;SERVICE;com.zegoggles.smssync.service.SmsRestoreService;handleIntent;13;3;11;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
 D ;SERVICE;com.zegoggles.smssync.service.SmsBackupService;notifyUser;6;1;4;3;Muitos Parametros;(1) Discordo Fortemente;;
" R, D ;UNDEFINED;com.zegoggles.smssync.utils.AppLog;AppLog;22;8;10;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.service.CalendarSyncer;CalendarSyncer;7;1;6;5;Muitos Parametros;(1) Discordo Fortemente;;"
